Deal_ID,ProviderDeal_ID,FullTitle,ShortTitle,FullDescription,ShortDescription,Outlets,Indiv_Outlets,All Postal Codes,DealSite_URL,DealImage_URL,HighlightImage_URL,StartDate,EndDate,Merchant_ID,ProviderMerchant_ID,MerchantName,MerchantImage_URL,MerchantWebsite_URL,Card Type,Terms&Conditions,CardImages_URL,isFeatured,HomeFeatured,isOnlineMerchant,Category,SubCategory,Keywords,Bookmark
218_11,218,Asiatravel.com,Asiatravel.com,"9% off bookings on Hotels, Land Packages, Tours and Attractions","9% off bookings on Hotels, Land Packages, Tours and Attractions",none,"",Not available,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=tl&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/sg/offer/photo/all/2016/asiatravel_image.jpg,"","",2016-03-31 T23:59:59,HSBC_11,218_HSBC_11,Asiatravel.com,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/sg/offer/images/all/2016/asiatravel_logo.jpg,"",All,"Applicable to all HSBC credit cards
Valid for online prepay new bookings with CV logo indicated only.
Simply enter the promo code 'HSBC-9' at the payment page using HSBC credit card to enjoy instant discount.
Applicable for bookings for Worldwide Hotel, Land Packages (Hotel + Tours), and Tours and Attractions.
Offer is not valid in-conjunction with any other promotion including cash vouchers and cash rebates program.
All bookings must be made via the www.hsbc.asiatravel.com. Hotel/Tour/Attraction terms and conditions apply.
Offers are subject to the terms and conditions of Asiatravel.com and subject to change without prior notice.
","","","","",Travel,"","",""
218_12,218,Dream Phuket Hotel and Spa,Dream Phuket Hotel and Spa,"3 Days 2 Nights Phuket Getaway Package for 2 adults at S$640++ (Usual: S$1280++)
                      
                        Deluxe Room Package includes:
                      
                        Return transfer by BMW from Phuket International Airport
                      
                        Exclusive Dream welcome gift
                      
                        A bottle of champagne
                      
                        International breakfast buffet
                      
                        Michelin Star-inspired Italian set dinner
                      
                        Seafood set dinner
                      
                        Complimentary minibar","3 Days 2 Nights Phuket Getaway Package for 2 adults at S$640++ (Usual: S$1280++)
                      
                        Deluxe Room Package includes:
                      
                        Return transfer by BMW from Phuket International Airport
                      
                        Exclusive Dream welcome gift
                      
                        A bottle of champagne
                      
                        International breakfast buffet
                      
                        Michelin Star-inspired Italian set dinner
                      
                        Seafood set dinner
                      
                        Complimentary minibar","11/7 Moo 6, T.Cherngtalay, A.Thalang, Phuket, 83110 Thailand","Addr: 11/7 Moo 6, T.Cherngtalay, A.Thalang, Phuket, 83110 Thailand; Tel: 66 - 76609898; Postal: Not available; Coord: Not available",Not available,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=tl&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/sg/offer/photo/all/2016/dreamphukethotel_image.jpg,"","",2016-05-31 T23:59:59,HSBC_12,218_HSBC_12,Dream Phuket Hotel and Spa,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/sg/offer/images/all/2016/dreamphukethotel_logo.jpg,"",All,"Applicable to all HSBC credit cards
Valid for stays from now till 31 May 2016.
Cannot be used in conjunction with other discounts, offers or promotions.
To book, please contact Reservation via hotline or email and quote ‘HSBCSGPRO’. Rooms are subject to availability.
Payment must be made using HSBC credit card.
HSBC and The Management of Dream Phuket Hotel and Spa reserves the right to amend the terms and conditions at any time without prior notice.
","","","","",Travel,"","",""
218_13,218,Expedia.com.sg,Expedia.com.sg,10% off hotel booking at designated websites,10% off hotel booking at designated websites,none,"",Not available,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=tl&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/hk/offer/photo/all/expedia_image.jpg,"","",2016-12-31 T23:59:59,HSBC_13,218_HSBC_13,Expedia.com.sg,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/hk/offer/images/all/expedia_logo.jpg,"",All,"Applicable to all HSBC credit cards
Offers are available when payment is made with any valid HSBC Credit Card.
Vanity URL: http://www.expedia.com.sg/hsbc
Stay Period: until 30 June 2017
Bookings must be made through the relevant merchant website (as above) to enjoy the offer.
The offers cannot be used in conjunction with any other discounts, promotions, discounted items and fixed-price items (unless specified).
The offers are non-transferable.
The offers cannot be exchanged for cash or other products.
Other offer-specific terms and conditions may apply, visit the relevant merchant website (as above) for details.
","","","","",Travel,"","",""
218_14,218,"Klook - Attractions, Tours & Activities","Klook - Attractions, Tours & Activities",Up to 45% off designated items,Up to 45% off designated items,none,"",Not available,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=tl&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/bn/offer/photo/all/klook_image.jpg,"","",2016-12-31 T23:59:59,HSBC_14,218_HSBC_14,"Klook - Attractions, Tours & Activities",www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/bn/offer/images/all/klook_logo.jpg,"",All,"Applicable to all HSBC credit cards
Full payment must be charged to a HSBC credit card.
Discount quoted off original retail price listed on Klook.
Promo Code: home & Away discount offers: HSBCHA, First time discount: HSBCUS5
Klook's terms and conditions apply.
","","","","",Travel,"","",""
218_15,218,"Mandarin Orchard Singapore, by Meritus","Mandarin Orchard Singapore, by Meritus","20% off Best Available Rate for Meritus Club Room and above. Includes:
                      
                        Exclusive check-in and check-out
                      
                        Choice of buffet breakfast at the Meritus Club Lounge or Triple Three from 0630hrs to 1030hrs
                      
                        Afternoon tea served from 1500hrs to 1700hrs
                      
                        Daily evening cocktails with an enticing selection of hors d’oeuvres and hot food items from 1800hrs to 2000hrs
                      
                        All day refreshments with cookies
                      
                        Complimentary Internet access in guest room and Meritus Club Lounge
                      
                        Complimentary use of meeting room for 1 hour per day, non-accumulative and subject to availability
                      
                        Complimentary pressing or standard laundry for 2 pieces of clothing per day, non-accumulative
                      
                        Complimentary local telephone calls
                      
                        Complimentary local newspaper
                      
                        Entitled to 20% off regular price at Triple Three and Shisen Hanten, food item and dine in only","20% off Best Available Rate for Meritus Club Room and above. Includes:
                      
                        Exclusive check-in and check-out
                      
                        Choice of buffet breakfast at the Meritus Club Lounge or Triple Three from 0630hrs to 1030hrs
                      
                        Afternoon tea served from 1500hrs to 1700hrs
                      
                        Daily evening cocktails with an enticing selection of hors d’oeuvres and hot food items from 1800hrs to 2000hrs
                      
                        All day refreshments with cookies
                      
                        Complimentary Internet access in guest room and Meritus Club Lounge
                      
                        Complimentary use of meeting room for 1 hour per day, non-accumulative and subject to availability
                      
                        Complimentary pressing or standard laundry for 2 pieces of clothing per day, non-accumulative
                      
                        Complimentary local telephone calls
                      
                        Complimentary local newspaper
                      
                        Entitled to 20% off regular price at Triple Three and Shisen Hanten, food item and dine in only","",Addr: ; Tel: 6737 2200; Postal: Not available; Coord: Not available,Not available,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=tl&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/common/images/generic-photo-tl.jpg,"","",2016-03-31 T23:59:59,HSBC_15,218_HSBC_15,"Mandarin Orchard Singapore, by Meritus",www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/sg/offer/images/all/2016/mandarinorchard_logo.jpg,"",All,"Applicable to all HSBC credit cards
A smart casual dress code applies, and guests below 18 years old are not allowed in the Club Lounge.
Applicable to all HSBC credit cards
For reservations, please call +65 6737 2200, or email to corpresvn.orchard@meritushotels.com and quote HSBC home&Away.
Advance reservation is required and subject to availability.
Cancellation and amendment can be made up to 48hours prior to 2pm (Singapore time) of arrival or a 1 night charge apply.
This offer cannot be used in conjunction with other promotions.
In case of dispute, Mandarin Orchard Singapore reserves the right of final decision.
HSBC home&Away Privilege Programme terms and conditions apply
","","","","",Travel,"","",""
218_16,218,Rentalcars.com,Rentalcars.com,5% off car rental price,5% off car rental price,none,"",Not available,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=tl&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/au/offer/photo/all/rentalcars_image.jpg,"","",2018-09-30 T23:59:59,HSBC_16,218_HSBC_16,Rentalcars.com,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/au/offer/images/all/rentalcars_logo.jpg,"",All,"Applicable to all HSBC credit cards
HSBC Cardholder is qualified to receive 5% car price discount on top of car selling price when the end customer books through the dedicated link under home&Away website.
All payable local bookings (currently only applicable to US and Canada markets) will not qualify for price discount.
","","","","",Travel,"","",""
218_17,218,Agoda.com,Agoda.com,"Extra 7% off (for HSBC Premier/ Visa Infinite Cards/ Advance/ Visa Platinum and Visa Signature credit card)
                      
                        Extra 5% off (for HSBC Gold and Classic card)","Extra 7% off (for HSBC Premier/ Visa Infinite Cards/ Advance/ Visa Platinum and Visa Signature credit card)
                      
                        Extra 5% off (for HSBC Gold and Classic card)",none,"",Not available,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=tl&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/common/images/generic-photo-tl.jpg,"","",2016-12-31 T23:59:59,HSBC_17,218_HSBC_17,Agoda.com,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/global-partner/tl/agoda/images/agoda.jpg,"",All,"Applicable to all HSBC credit cards
To enjoy the offers, booking must be made http://www.agoda.com/hna. If the booking is made directly through the agoda website, NO HSBC discount will be offered and NO refund will be arranged. Once confirmation is made, final payment will be charged to cardholder's HSBC credit card account base on the currency your credit card is issued. Terms and conditions applies. Offers are applicable to designated hotels / room types / destinations.
Booking must be made online and before 31 December 2016
Available for stay until 30 June 2017
","","","","",Travel,"","",""
218_18,218,Booking.com,Booking.com,"Best Price Guarantee from Booking.com - enjoy savings of up to 70% on regular prices. Plus, sign-up for My Booking.com and after 5 bookings you’ll qualify for even more specials with exclusive “Genius Member” rates and benefits!","Best Price Guarantee from Booking.com - enjoy savings of up to 70% on regular prices. Plus, sign-up for My Booking.com and after 5 bookings you’ll qualify for even more specials with exclusive “Genius Member” rates and benefits!",none,"",Not available,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=tl&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/au/offer/photo/all/booking_image.jpg,"","",2016-03-31 T23:59:59,HSBC_18,218_HSBC_18,Booking.com,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/au/offer/images/all/booking_logo.jpg,"",All,"Applicable to all HSBC credit cards
Offers are available when payment is made with any valid HSBC Credit Card.
Bookings must be made through www.booking.com/hsbcasia to enjoy the offer.
The offers cannot be used in conjunction with any other discounts, promotions, discounted items and fixed-price items (unless specified).
The offers are non-transferable.
The offers cannot be exchanged for cash or other products.
Other offer-specific terms and conditions may apply, visit http://www.booking.com/index.html?aid=398327 for details.
","","","","",Travel,"","",""
218_19,218,Madame Tussauds Singapore,Madame Tussauds Singapore,25% off admission tickets when purchased at the gate,25% off admission tickets when purchased at the gate,none,"",Not available,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=tl&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/global-partner/tl/madame/images/photo1.jpg,"","",2016-05-06 T23:59:59,HSBC_19,218_HSBC_19,Madame Tussauds Singapore,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/global-partner/tl/madame/images/logo.jpg,"",All,"Applicable to all HSBC credit cards
HSBC home&Away Privilege Programme terms and conditions apply.
","","","","",Travel,"","",""
218_20,218,Meritus Hotels & Resorts,Meritus Hotels & Resorts,"10% off Best Flexible Rates
                      
                        Flexible cancellation policy (no cancellation charge up to 48 hours prior to arrival date)
                      
                        Inclusive of internet for all room categories","10% off Best Flexible Rates
                      
                        Flexible cancellation policy (no cancellation charge up to 48 hours prior to arrival date)
                      
                        Inclusive of internet for all room categories",Mandarin Orchard Singapore,"Addr: Mandarin Orchard Singapore; Tel: ; Postal: Not available; Coord: 1.3020763, 103.8362083",Not available,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=tl&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/common/images/generic-photo-tl.jpg,"","",2016-12-31 T23:59:59,HSBC_20,218_HSBC_20,Meritus Hotels & Resorts,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/global-partner/tl/meritus/images/logo.jpg,"",All,"Applicable to all HSBC credit cards
Offer is valid for stays from now to 31 December 2016.
Subject to advance booking and availability.
Applicable for direct bookings with Meritus hotels and resorts only
Booking methods include phone, email and online booking
Cancel by 2pm (local time) 2 days prior to arrival to avoid 1 night cancellation charge.
A valid credit card is required to secure the reservation. No deposit required.
Local taxes and service charges (to be paid at the hotel) are applicable, and may vary according to the dates, length of stay and the country where the hotel is located.
Not applicable for concurrent use with other promotions and discounts
","","","","",Travel,"","",""
218_21,218,"Ocean Park, Hong Kong","Ocean Park, Hong Kong","10% off on Admission Tickets at Ocean Park, Hong Kong
                      
                        This offer is ONLY eligible to holders of HSBC Credit Cards issued by the following countries: Australia, India, Indonesia, Malaysia, Philippines, Singapore and Taiwan.","10% off on Admission Tickets at Ocean Park, Hong Kong
                      
                        This offer is ONLY eligible to holders of HSBC Credit Cards issued by the following countries: Australia, India, Indonesia, Malaysia, Philippines, Singapore and Taiwan.",none,"",Not available,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=tl&cardtype=&currentPage=2,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/global-partner/tl/oceanpark/images/ocean_image_1.jpg,"","",2016-12-31 T23:59:59,HSBC_21,218_HSBC_21,"Ocean Park, Hong Kong",www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/global-partner/tl/oceanpark/images/logo.jpg,"",All,"Applicable to all HSBC credit cards
This offer is ONLY eligible to holders of HSBC Credit Cards issued by the following countries: Australia, India, Indonesia, Malaysia, Philippines, Singapore and TaiwanThis offer is ONLY eligible to holders of HSBC Credit Cards issued by the following countries: Australia, India, Indonesia, Malaysia, Philippines, Singapore and Taiwan.
Offer is applicable to admission ticket only.
A Maximum of 4 admission tickets can be purchased for each transaction.
Offer is not applicable to blackout dates from 8 February to 14 February 2016.
Payment must be made by a valid HSBC credit card at the ticketing office of Ocean Park, Hong Kong located at the Main Entrance.
Offers cannot be exchanged for cash.
Offers cannot be applied in conjunction with any other promotional offers.
In case of any dispute around eligibility in granting the offer, the decision of Ocean Park Hong Kong shall be final.
","","","","",Travel,"","",""
218_22,218,GlassesOnline.sg,GlassesOnline.sg,10% off purchases,10% off purchases,none,"",Not available,http://www.homeandaway.hsbc.com/1/2/hna2/local/sg/offers?country=sg&category=sp&cardtype=&currentPage=1,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/common/images/generic-photo-sp.jpg,"","",2016-03-31 T23:59:59,HSBC_22,218_HSBC_22,GlassesOnline.sg,www.homeandaway.hsbc.com/1/PA_ES_Content_Mgmt/content/HNA2/local/sg/offer/images/all/glassonline_logo.jpg,"",All,"Applicable to all HSBC credit cards
Enter the first 6-digit of your HSBC credit card number upon checkout to enjoy the offer.
","","","","",Shopping,"","",""
